Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
SRR031708 - illumina_universal_adapter	(1, 1.7134154950331512e-05)	(2, 5.140246485099454e-05)	(3, 0.0001370732396026521)	(4, 0.00023987816930464117)	(5, 0.0002741464792053042)	(6, 0.00037695140890729327)	(7, 0.0004283538737582878)	(8, 0.0004454880287086193)	(9, 0.0005482929584106084)	(10, 0.0005825612683112714)	(11, 0.0005996954232616029)	(12, 0.0006682320430629289)	(13, 0.0007196345079139235)	(14, 0.0007881711277152496)	(15, 0.0008224394376159126)	(16, 0.0009081102123675701)	(17, 0.0009423785222682331)	(18, 0.0010109151420695593)	(19, 0.0010794517618708853)	(20, 0.001302195776225195)	(21, 0.0021246352138411073)	(22, 0.0037352457791722696)	(23, 0.00837860177071211)	(24, 0.015009519736490404)	(25, 0.02630092784875887)	(26, 0.04691331625400768)	(27, 0.08003363777299849)	(28, 0.12787219839432407)	(29, 0.1915598523447063)	(30, 0.27190190490681077)	(31, 0.3779623240493628)	(32, 0.5044809242026107)	(33, 0.6584484405862897)	(34, 0.815020348522419)
SRR031708 - polya	(1, 0.7676786783946531)	(2, 0.7704544114966068)	(3, 0.7717394731178816)	(4, 0.7732815470634115)	(5, 0.774549474529736)	(6, 0.7760572801653651)	(7, 0.7783361227737593)	(8, 0.7810775875658122)	(9, 0.7837676498930143)	(10, 0.786234968205862)	(11, 0.7881025910954482)	(12, 0.7899188115201834)	(13, 0.7916664953251171)	(14, 0.7929515569463921)	(15, 0.7941338136379649)	(16, 0.7951275946250841)	(17, 0.7965325953310113)	(18, 0.7976634495577332)	(19, 0.7984344865304981)	(20, 0.799205523503263)	(21, 0.8000622312507796)	(22, 0.8010731463928492)	(23, 0.8019469882953161)	(24, 0.8028379643527334)	(25, 0.8035233305507465)	(26, 0.8046027823126175)	(27, 0.805356685130432)	(28, 0.806024917173495)	(29, 0.8067959541462599)	(30, 0.8076697960487268)	(31, 0.808457967176442)	(32, 0.8091604675294056)	(33, 0.8096059555581142)	(34, 0.8109595537991905)
SRR031712 - illumina_universal_adapter	(1, 3.167817508368978e-05)	(2, 4.751726262553467e-05)	(3, 0.00011087361279291422)	(4, 0.0001583908754184489)	(5, 0.00017422996296029378)	(6, 0.00022174722558582845)	(7, 0.00023758631312767334)	(8, 0.0002692644882113631)	(9, 0.000285103575753208)	(10, 0.0003009426632950529)	(11, 0.00036429901346243245)	(12, 0.00039597718854612223)	(13, 0.00039597718854612223)	(14, 0.0004118162760879671)	(15, 0.0004118162760879671)	(16, 0.0004118162760879671)	(17, 0.000427655363629812)	(18, 0.0005226898888808813)	(19, 0.0006177244141319507)	(20, 0.0009186670774270036)	(21, 0.001298805178431281)	(22, 0.0028985530201576146)	(23, 0.007396853882041563)	(24, 0.013890879774197968)	(25, 0.02401205671343685)	(26, 0.042417076437060615)	(27, 0.07235295189114746)	(28, 0.11662320157060392)	(29, 0.17651079156631944)	(30, 0.2565298618277198)	(31, 0.3639663926240537)	(32, 0.5014179943121837)	(33, 0.6560550059832153)	(34, 0.8243453111153173)
SRR031712 - polya	(1, 0.30354027365191544)	(2, 0.305219216931351)	(3, 0.3062329185340291)	(4, 0.3068348038606192)	(5, 0.3077851491131299)	(6, 0.3086246207528477)	(7, 0.30927402334206333)	(8, 0.31139646107267055)	(9, 0.3133288297527756)	(10, 0.3152770375204225)	(11, 0.3160373137224311)	(12, 0.317066854412651)	(13, 0.3182706250658312)	(14, 0.31928432666850926)	(15, 0.3201396373957689)	(16, 0.3211058217358214)	(17, 0.3222145578637506)	(18, 0.3231015467660939)	(19, 0.3240835701936883)	(20, 0.3247012946078202)	(21, 0.32558828351016356)	(22, 0.3263485597121721)	(23, 0.3272038704394317)	(24, 0.3279483075538984)	(25, 0.32880361828115806)	(26, 0.3298806762340035)	(27, 0.33065679152355393)	(28, 0.3313378722878532)	(29, 0.3319080794393597)	(30, 0.33293762012957956)	(31, 0.33368205724404626)	(32, 0.33448985070868037)	(33, 0.3352976441733145)	(34, 0.33751511642917276)
SRR031713 - illumina_universal_adapter	(1, 4.632502782203963e-05)	(2, 4.632502782203963e-05)	(3, 4.632502782203963e-05)	(4, 9.265005564407926e-05)	(5, 0.00013897508346611887)	(6, 0.00013897508346611887)	(7, 0.00013897508346611887)	(8, 0.00018530011128815852)	(9, 0.00021618346316951826)	(10, 0.0002625084909915579)	(11, 0.0002933918428729176)	(12, 0.0003242751947542774)	(13, 0.0003242751947542774)	(14, 0.00037060022257631703)	(15, 0.00038604189851699686)	(16, 0.00041692525039835663)	(17, 0.00041692525039835663)	(18, 0.0004323669263390365)	(19, 0.0004632502782203963)	(20, 0.0006022253616865151)	(21, 0.0011426840196103107)	(22, 0.0025169931783308197)	(23, 0.005945045237161752)	(24, 0.010824614834416593)	(25, 0.01843736107317177)	(26, 0.03424963723642797)	(27, 0.05912617717686324)	(28, 0.09532146558181687)	(29, 0.14655694635299268)	(30, 0.21309512798138228)	(31, 0.29961483827701163)	(32, 0.406007985508296)	(33, 0.525387582205692)	(34, 0.6471143136460715)
SRR031713 - polya	(1, 0.15945074576346038)	(2, 0.1616743470989183)	(3, 0.1624464308959523)	(4, 0.1630486562576388)	(5, 0.16361999826744397)	(6, 0.16403692351784233)	(7, 0.16453105714794408)	(8, 0.16639949993676634)	(9, 0.16805175926241908)	(10, 0.16985843534747863)	(11, 0.17063051914451263)	(12, 0.17135627791372457)	(13, 0.17237542852580945)	(14, 0.17307030394314005)	(15, 0.17391959611987742)	(16, 0.17459902986126735)	(17, 0.1757880389086997)	(18, 0.17672998114108118)	(19, 0.1776410400215813)	(20, 0.17842856549455596)	(21, 0.17907711588406452)	(22, 0.17981831632921716)	(23, 0.18057495845031046)	(24, 0.18125439219170036)	(25, 0.1820882426924971)	(26, 0.1829220931932938)	(27, 0.1836169686106244)	(28, 0.184311844027955)	(29, 0.18496039441746354)	(30, 0.1855471781032094)	(31, 0.18631926190024337)	(32, 0.18690604558598922)	(33, 0.18749282927173505)	(34, 0.18895978848609962)
SRR031720 - illumina_universal_adapter	(1, 1.5170977676968316e-05)	(2, 3.0341955353936632e-05)	(3, 9.10258660618099e-05)	(4, 0.00010619684373877822)	(5, 0.00015170977676968317)	(6, 0.00015170977676968317)	(7, 0.00015170977676968317)	(8, 0.0001820517321236198)	(9, 0.0001820517321236198)	(10, 0.00021239368747755645)	(11, 0.00021239368747755645)	(12, 0.00022756466515452475)	(13, 0.00025790662050846137)	(14, 0.00028824857586239803)	(15, 0.00033376150889330295)	(16, 0.0003641034642472396)	(17, 0.0005309842186938911)	(18, 0.0008495747499102258)	(19, 0.002245304696191311)	(20, 0.0061594169368491365)	(21, 0.015550252118892525)	(22, 0.04061270724124418)	(23, 0.09603228869520944)	(24, 0.1544708947068914)	(25, 0.23158497423892135)	(26, 0.3550160486187356)	(27, 0.5355961959076895)	(28, 0.7645414200308184)	(29, 1.0340538384621605)	(30, 1.354662109709532)	(31, 1.717658092586353)	(32, 2.1290950071857337)	(33, 2.53915136281651)	(34, 2.9191691826468897)
SRR031720 - polya	(1, 0.5673793941409381)	(2, 0.5697460666585451)	(3, 0.5709900868280565)	(4, 0.571718293756551)	(5, 0.5722947909082758)	(6, 0.5729471429483854)	(7, 0.5733567593456635)	(8, 0.5757841157739785)	(9, 0.5781811302469395)	(10, 0.5804871188538387)	(11, 0.5813973775144569)	(12, 0.5826869106169991)	(13, 0.5842495213177269)	(14, 0.5853266607327916)	(15, 0.5863734581925024)	(16, 0.587511281518275)	(17, 0.5888159855984944)	(18, 0.5900144928349748)	(19, 0.5909702644286238)	(20, 0.5919108650445959)	(21, 0.5930183464150145)	(22, 0.594247195606849)	(23, 0.5954608738210064)	(24, 0.5965076712807172)	(25, 0.5972510491868886)	(26, 0.5982826756689226)	(27, 0.5996480636598497)	(28, 0.6005583223204678)	(29, 0.6013472131596701)	(30, 0.6021057620435185)	(31, 0.6028643109273669)	(32, 0.6039566213201087)	(33, 0.6048213670476958)	(34, 0.6067935941457018)
SRR031721 - illumina_universal_adapter	(1, 2.9546304673220824e-05)	(2, 5.909260934644165e-05)	(3, 8.863891401966247e-05)	(4, 0.0001181852186928833)	(5, 0.00016250467570271454)	(6, 0.00020682413271254577)	(7, 0.00022159728504915618)	(8, 0.000251143589722377)	(9, 0.0002806898943955978)	(10, 0.0002806898943955978)	(11, 0.0002806898943955978)	(12, 0.0002806898943955978)	(13, 0.00031023619906881864)	(14, 0.00033978250374203946)	(15, 0.00036932880841526034)	(16, 0.00044319457009831236)	(17, 0.0005170603317813644)	(18, 0.0007682039215037414)	(19, 0.0021716533934817307)	(20, 0.006322909200069256)	(21, 0.017476639214210117)	(22, 0.04771728204725163)	(23, 0.11830340391157618)	(24, 0.19611359726850322)	(25, 0.2971324129462452)	(26, 0.46570885425930664)	(27, 0.7061566816899777)	(28, 1.0143689588886808)	(29, 1.3916900427180472)	(30, 1.8356823630425367)	(31, 2.343214011566787)	(32, 2.913398599150603)	(33, 3.4989472651644933)	(34, 4.053767774318234)
SRR031721 - polya	(1, 0.18032109742066668)	(2, 0.18293594538424673)	(3, 0.18380756137210674)	(4, 0.18463485790295694)	(5, 0.1852996497581044)	(6, 0.18589057585156882)	(7, 0.18645195564036002)	(8, 0.18877134055720785)	(9, 0.19117936438807534)	(10, 0.1939271707226849)	(11, 0.19504993030026727)	(12, 0.19598063889747372)	(13, 0.19719203738907579)	(14, 0.19841820903301444)	(15, 0.1994818760012504)	(16, 0.20054554296948635)	(17, 0.20165352939473213)	(18, 0.20283538158166095)	(19, 0.20429792366298538)	(20, 0.20568659998262678)	(21, 0.20706050314993155)	(22, 0.20821280903218714)	(23, 0.2094242075237892)	(24, 0.21051742079669838)	(25, 0.21150722200325128)	(26, 0.21289589832289266)	(27, 0.21401865790047506)	(28, 0.21505277856403776)	(29, 0.21614599183694694)	(30, 0.21732784402387578)	(31, 0.21839151099211174)	(32, 0.2194847242650209)	(33, 0.22040065970989076)	(34, 0.22337006332954942)
